Freq.	-V(out)/I(V1)
1.38038426460288e+004	(7.44733175101186e+001dB,-1.58663088863379e+001°)
1.41253754462275e+004	(7.44518605190409e+001dB,-1.55827480096324e+001°)
1.44543977074592e+004	(7.44309439704452e+001dB,-1.53029908615294e+001°)
1.47910838816820e+004	(7.44105628494246e+001dB,-1.50270134182257e+001°)
1.51356124843620e+004	(7.43907119961663e+001dB,-1.47547944557377e+001°)
1.54881661891248e+004	(7.43713860761738e+001dB,-1.44863152898159e+001°)
1.58489319246111e+004	(7.43525795551991e+001dB,-1.42215595096350e+001°)
1.62181009735893e+004	(7.43342866790639e+001dB,-1.39605127082032e+001°)
1.65958690743756e+004	(7.43165014578542e+001dB,-1.37031622129288e+001°)
1.69824365246174e+004	(7.42992176546776e+001dB,-1.34494968187722e+001°)
1.73780082874937e+004	(7.42824287785354e+001dB,-1.31995065267944e+001°)
1.77827941003892e+004	(7.42661280810001e+001dB,-1.29531822904293e+001°)
1.81970085860998e+004	(7.42503085566260e+001dB,-1.27105157713562e+001°)
1.86208713666286e+004	(7.42349629465875e+001dB,-1.24714991068722e+001°)
1.90546071796324e+004	(7.42200837453741e+001dB,-1.22361246901547e+001°)
1.94984459975804e+004	(7.42056632101990e+001dB,-1.20043849646174e+001°)
1.99526231496887e+004	(7.41916933726751e+001dB,-1.17762722334021e+001°)
2.04173794466952e+004	(7.41781660526165e+001dB,-1.15517784845475e+001°)
2.08929613085403e+004	(7.41650728735840e+001dB,-1.13308952323405e+001°)
2.13796208950222e+004	(7.41524052797916e+001dB,-1.11136133751262e+001°)
2.18776162394954e+004	(7.41401545542360e+001dB,-1.08999230694919e+001°)
2.23872113856833e+004	(7.41283118375357e+001dB,-1.06898136208286e+001°)
2.29086765276777e+004	(7.41168681476191e+001dB,-1.04832733896778e+001°)
2.34422881531991e+004	(7.41058143995494e+001dB,-1.02802897137222e+001°)
2.39883291901948e+004	(7.40951414255987e+001dB,-1.00808488446094e+001°)
2.45470891568502e+004	(7.40848399952776e+001dB,-9.88493589899402e+000°)
2.51188643150957e+004	(7.40749008350439e+001dB,-9.69253482309536e+000°)
2.57039578276885e+004	(7.40653146477538e+001dB,-9.50362836979993e+000°)
2.63026799189537e+004	(7.40560721314074e+001dB,-9.31819808763913e+000°)
2.69153480392691e+004	(7.40471639974002e+001dB,-9.13622432052621e+000°)
2.75422870333816e+004	(7.40385809879279e+001dB,-8.95768621749799e+000°)
2.81838293126444e+004	(7.40303138925680e+001dB,-8.78256175147131e+000°)
2.88403150312660e+004	(7.40223535640211e+001dB,-8.61082774607497e+000°)
2.95120922666637e+004	(7.40146909327090e+001dB,-8.44245990979897e+000°)
3.01995172040200e+004	(7.40073170207555e+001dB,-8.27743287629933e+000°)
3.09029543251358e+004	(7.40002229544857e+001dB,-8.11572025044533e+000°)
3.16227766016837e+004	(7.39933999763080e+001dB,-7.95729465887642e+000°)
3.23593656929627e+004	(7.39868394553034e+001dB,-7.80212780463825e+000°)
3.31131121482590e+004	(7.39805328969778e+001dB,-7.65019052497215e+000°)
3.38844156139201e+004	(7.39744719518667e+001dB,-7.50145285174531e+000°)
3.46736850452530e+004	(7.39686484232548e+001dB,-7.35588407379393e+000°)
3.54813389233574e+004	(7.39630542739674e+001dB,-7.21345280065247e+000°)
3.63078054770100e+004	(7.39576816321376e+001dB,-7.07412702719023e+000°)
3.71535229097171e+004	(7.39525227962580e+001dB,-6.93787419859570e+000°)
3.80189396320560e+004	(7.39475702392217e+001dB,-6.80466127539636e+000°)
3.89045144994279e+004	(7.39428166117069e+001dB,-6.67445479803144e+000°)
3.98107170553496e+004	(7.39382547447563e+001dB,-6.54722095071525e+000°)
4.07380277804111e+004	(7.39338776516726e+001dB,-6.42292562426161e+000°)
4.16869383470334e+004	(7.39296785292301e+001dB,-6.30153447764684e+000°)
4.26579518801591e+004	(7.39256507583166e+001dB,-6.18301299805471e+000°)
4.36515832240164e+004	(7.39217879039794e+001dB,-6.06732655926420e+000°)
4.46683592150961e+004	(7.39180837149822e+001dB,-5.95444047818738e+000°)
4.57088189614873e+004	(7.39145321228721e+001dB,-5.84432006947374e+000°)
4.67735141287196e+004	(7.39111272405289e+001dB,-5.73693069808068e+000°)
4.78630092322636e+004	(7.39078633605632e+001dB,-5.63223782967221e+000°)
4.89778819368444e+004	(7.39047349530043e+001dB,-5.53020707893679e+000°)
5.01187233627270e+004	(7.39017366630520e+001dB,-5.43080425562136e+000°)
5.12861383991362e+004	(7.38988633081860e+001dB,-5.33399540844173e+000°)
5.24807460249770e+004	(7.38961098753169e+001dB,-5.23974686672316e+000°)
5.37031796370250e+004	(7.38934715175663e+001dB,-5.14802527988907e+000°)
5.49540873857622e+004	(7.38909435508803e+001dB,-5.05879765478645e+000°)
5.62341325190346e+004	(7.38885214505053e+001dB,-4.97203139089085e+000°)
5.75439937337154e+004	(7.38862008473095e+001dB,-4.88769431343950e+000°)
5.88843655355586e+004	(7.38839775240055e+001dB,-4.80575470455199e+000°)
6.02559586074355e+004	(7.38818474112997e+001dB,-4.72618133238445e+000°)
6.16595001861479e+004	(7.38798065838983e+001dB,-4.64894347842191e+000°)
6.30957344480190e+004	(7.38778512565704e+001dB,-4.57401096291479e+000°)
6.45654229034652e+004	(7.38759777800120e+001dB,-4.50135416861356e+000°)
6.60693448007593e+004	(7.38741826369289e+001dB,-4.43094406278205e+000°)
